Timestamp,Acceleration,Alert
796523435,1.39,OK
796523435,1.39,OK
796523436,1.39,OK
796523436,1.40,OK
796523437,1.40,OK
796523438,1.38,OK
796523438,1.42,OK
796523439,1.00,FALL DETECTED
796523439,1.39,FALL DETECTED
796523440,1.39,FALL DETECTED
796523440,1.39,FALL DETECTED
796523441,1.39,FALL DETECTED
796523441,1.39,FALL DETECTED
796523442,1.40,FALL DETECTED
796523442,1.40,FALL DETECTED
796523443,1.40,FALL DETECTED
796523443,1.40,FALL DETECTED
796523444,1.40,FALL DETECTED
796523445,1.40,FALL DETECTED
796523445,1.39,FALL DETECTED
796523446,1.39,FALL DETECTED
796523446,1.40,FALL DETECTED
796523448,1.40,FALL DETECTED
796523448,1.40,FALL DETECTED
796523449,1.40,FALL DETECTED
796523449,1.39,FALL DETECTED
796523450,1.39,FALL DETECTED
796523450,1.40,FALL DETECTED
796523451,1.40,FALL DETECTED
796523451,1.40,FALL DETECTED
796523452,1.39,FALL DETECTED
796523452,1.39,FALL DETECTED
796523453,1.39,FALL DETECTED
796523453,1.40,FALL DETECTED
796523454,1.39,FALL DETECTED
796523454,1.40,FALL DETECTED
796523455,1.40,FALL DETECTED
796523456,1.39,HELP
796523456,1.39,HELP
796523457,1.39,HELP
796523457,1.39,HELP
796523458,1.39,HELP
796523458,1.40,HELP
796523459,1.39,HELP
796523459,1.40,HELP
796523460,1.40,HELP
796523460,1.40,HELP
796523461,1.39,HELP
796523461,1.40,HELP
796523462,1.39,HELP
796523463,1.39,HELP
796523463,1.40,HELP
796523464,1.39,HELP
796523464,1.39,HELP
796523465,1.39,HELP
796523465,1.39,HELP
796523466,1.40,HELP
796523466,1.40,HELP
796523467,1.39,HELP
796523467,1.39,HELP
796523468,1.40,HELP
796523469,1.39,HELP
796523469,1.39,HELP
796523470,1.40,HELP
796523470,1.40,HELP
796523471,1.40,HELP
796523471,1.39,HELP
796523472,1.39,HELP
796523472,1.39,HELP
796523473,1.39,HELP
796523474,1.39,HELP
796523474,1.39,HELP
796523475,1.39,HELP
796523475,1.39,HELP
796523476,1.39,HELP
796523476,1.39,HELP
796523477,1.40,HELP
796523477,1.39,HELP
796523478,1.39,HELP
796523479,1.39,HELP
796523479,1.39,HELP
796523481,1.40,HELP
796523481,1.40,HELP
796523482,1.39,HELP
796523482,1.39,HELP
796523483,1.39,HELP
796523483,1.39,HELP
796523484,1.40,HELP
796523484,1.40,HELP
796523485,1.40,HELP
796523486,1.40,HELP
796523486,1.39,HELP
796523487,1.39,HELP
796523487,1.39,HELP
796523488,1.39,HELP
796523488,1.39,HELP
796523489,1.40,HELP
796523489,1.40,HELP
796523490,1.20,HELP
796523491,1.54,HELP
796523491,1.49,HELP
796523492,1.51,HELP
796523492,1.53,HELP
796523493,1.10,OK
796523493,1.15,OK
796523494,1.52,FALL DETECTED
796523495,1.40,FALL DETECTED
796523495,1.39,FALL DETECTED
796523496,1.39,FALL DETECTED
796523496,1.39,FALL DETECTED
796523497,1.39,FALL DETECTED
796523497,1.38,FALL DETECTED
796523498,1.39,FALL DETECTED
796523498,1.38,FALL DETECTED
796523499,1.38,FALL DETECTED
796523500,1.40,FALL DETECTED
796523500,1.38,FALL DETECTED
796523501,1.39,FALL DETECTED
796523501,1.39,FALL DETECTED
796523502,1.39,FALL DETECTED
796523502,1.39,FALL DETECTED
796523503,1.39,FALL DETECTED
796523504,1.40,FALL DETECTED
796523504,1.14,FALL DETECTED
796523505,1.37,FALL DETECTED
796523505,1.60,FALL DETECTED
796523506,1.26,FALL DETECTED
796523506,1.47,FALL DETECTED
796523507,1.49,FALL DETECTED
796523508,1.46,FALL DETECTED
